baseline OK (fullshape pass, ['s7_the_clears_and_stays_known_answer_gate_against_the_committed_t_disabl', 'totality_04f188936b', 'totality_0ec22598ad', 'totality_18ae809c1b', 'totality_244e7e8111', 'totality_2e4f7f4de5', 'totality_2f5ee2baca', 'totality_3072ba3f6c', 'totality_3405d51a5d', 'totality_3a1bba5455', 'totality_3b119f6978', 'totality_3f47837ddb', 'totality_440b0c76f3', 'totality_4b4d957203', 'totality_510f35ee2f', 'totality_5262dd7e57', 'totality_56d7e2591c', 'totality_59861cd925', 'totality_8c87362f51', 'totality_957a6ce94e', 'totality_9dbaf2e5a8', 'totality_a15c461d59', 'totality_a1b6f9d618', 'totality_aea9103fb7', 'totality_b99147fc28', 'totality_cab6e140cf', 'totality_ccbbb8079f', 'totality_e0971c8f19', 'totality_e6cbbab111', 'totality_ef3e324a80', 'totality_f6819c9e67', 'totality_fa4043337a', 'totality_faf87ceb9f', 'totality_fddb16c7c4'] mutants)

[s7_the_clears_and_stays_known_answer_gate_against_the_committed_t_disabl] (#31) killed  _s7: the clears-and-stays known-answer gate against the committed T disabled  (-k 'test_s7_known_answer_gate_catches_a_corrupted_committed_t')
[totality_aea9103fb7] (#48) killed  run(): totality -- collect_total_4b stripped at line 775 (lambda: placebo_4b.draw_batteries_4b(pools, design4, B=B, se...)  (-k '4b_draw_batteries')
[totality_fddb16c7c4] (#49) killed  run(): totality -- collect_total_4b stripped at line 789 (lambda: placebo_4b.p_cal_4b(batteries["T"], T4)...)  (-k '4b_p_cal')
[totality_faf87ceb9f] (#50) killed  run(): totality -- collect_total_4b stripped at line 792 (lambda: placebo_4b.t_star_4b(batteries["T"], T4)...)  (-k '4b_t_star')
[totality_3405d51a5d] (#51) killed  run(): totality -- collect_total_4b stripped at line 795 (lambda: placebo_4b.alpha_placebo_4b(batteries, seed=battery_...)  (-k '4b_alpha_placebo')
[totality_04f188936b] (#52) killed  run(): totality -- collect_total_4b stripped at line 800 (lambda: placebo_4b.per_traj_4b(batteries, design4, (v4.get("...)  (-k '4b_per_traj')
[totality_ccbbb8079f] (#53) killed  run(): totality -- collect_total_4b stripped at line 804 (lambda: placebo_4b.per_type_4b(pools, cells4, B=B, seed=batt...)  (-k '4b_per_type')
[totality_b99147fc28] (#54) killed  run(): totality -- collect_total_4b stripped at line 808 (lambda: placebo_4b.s3_shape_4b(batteries, design4, cells4)...)  (-k '4b_S3')
[totality_510f35ee2f] (#55) killed  run(): totality -- collect_total_4b stripped at line 810 (lambda: placebo_4b.s4_scatter_ratio_4b(series_by_traj, rung_...)  (-k '4b_S4')
[totality_56d7e2591c] (#56) killed  run(): totality -- collect_total_4b stripped at line 813 (lambda: placebo_4b.s5_autocorr_4b(series_by_traj, rung_sets)...)  (-k '4b_S5')
[totality_e6cbbab111] (#57) killed  run(): totality -- collect_total_4b stripped at line 815 (lambda: placebo_4b.s8_curves_4b(series_by_traj, rung_sets, c...)  (-k '4b_S8')
[totality_4b4d957203] (#58) killed  run(): totality -- collect_total_4b stripped at line 832 (_s1...)  (-k '4b_S1')
[totality_3a1bba5455] (#59) killed  run(): totality -- collect_total_4b stripped at line 845 (_s6...)  (-k '4b_S6')
[totality_440b0c76f3] (#60) killed  run(): totality -- collect_total_4b stripped at line 894 (_s7...)  (-k '4b_S7')
[totality_3072ba3f6c] (#61) killed  run(): totality -- collect_total_4b stripped at line 526 (lambda: mkr4b.check_referents_4b(REFERENTS_PATH_4B, sha_pin=...)  (-k 'test_referent_manifest_bad_pin_gives_insufficient_data')
[totality_fa4043337a] (#62) killed  run(): totality -- collect_total_4b stripped at line 558 (lambda: battery_4b.real_design_4b(cells4)...)  (-k 'test_real_design_raise_gives_insufficient_data')
[totality_244e7e8111] (#63) killed  run(): totality -- collect_total_4b stripped at line 569 (lambda traj=traj: battery_4.load_outcome_4(traj, battery=bat...)  (-k 'test_outcome_raise_gives_insufficient_data')
[totality_8c87362f51] (#64) killed  run(): totality -- collect_total_4b stripped at line 597 (lambda traj=traj: an.load_sweep_tables_4(root4, traj)...)  (-k 'test_sweep_unit_missing_gives_insufficient_data')
[totality_e0971c8f19] (#65) killed  run(): totality -- collect_total_4b stripped at line 603 (lambda refs=refs: collect_4.load_ref_tables_4(root4, refs)...)  (-k 'test_ref_tables_raise_gives_insufficient_data')
[totality_9dbaf2e5a8] (#66) killed  run(): totality -- collect_total_4b stripped at line 609 (lambda traj=traj, ref_tables=ref_tables, sweep_tables=sweep_...)  (-k 'test_alignment_series_raise_gives_insufficient_data')
[totality_f6819c9e67] (#67) killed  run(): totality -- collect_total_4b stripped at line 739 (lambda series=series, pia_t1=pia_t1, pia_end=pia_end, flat=f...)  (-k 'test_placebo_pool_raise_gives_insufficient_data')
[totality_2e4f7f4de5] (#68) killed  run(): totality -- collect_total_4b stripped at line 575 (lambda oc=oc: battery_4.rung_sets_4(oc, floors)...)  (-k 'test_rung_sets_raise_gives_insufficient_data')

34/34 killed; 0 survivor(s): []; 0 SKIP (target text not found, stale mutant): []; 0 TIMEOUT (not a kill, not a survivor): []
